,From,To,Time of Leave,route_id,latitude,longitude,timestamp,vehicle_id,timediff,Date,Time
0,Bhakti Shakti,Katraj,15:45,42,18.59172248840332,73.75745391845703,1547893835,1661,15,2019-01-19,16:00:35
1,Bhakti Shakti,Katraj,15:45,42,18.591266632080078,73.7576675415039,1547893861,1661,13,2019-01-19,16:01:01
2,Bhakti Shakti,Katraj,15:45,42,18.590932846069336,73.75782012939453,1547893883,1661,14,2019-01-19,16:01:23
3,Bhakti Shakti,Katraj,15:45,42,18.590932846069336,73.75782012939453,1547893908,1661,13,2019-01-19,16:01:48
4,Bhakti Shakti,Katraj,15:45,42,18.590190887451172,73.75808715820312,1547893928,1661,16,2019-01-19,16:02:08
5,Bhakti Shakti,Katraj,15:45,42,18.587636947631836,73.7589111328125,1547893955,1661,57,2019-01-19,16:02:35
6,Bhakti Shakti,Katraj,15:45,42,18.581172943115234,73.76131439208984,1547894022,1661,14,2019-01-19,16:03:42
7,Bhakti Shakti,Katraj,15:45,42,18.57877540588379,73.76222229003906,1547894044,1661,3,2019-01-19,16:04:04
8,Bhakti Shakti,Katraj,15:45,42,18.577316284179688,73.76277160644531,1547894051,1661,17,2019-01-19,16:04:11
9,Bhakti Shakti,Katraj,15:45,42,18.574932098388672,73.76367950439453,1547894075,1661,17,2019-01-19,16:04:35
10,Bhakti Shakti,Katraj,15:45,42,18.574012756347656,73.76402282714844,1547894102,1661,13,2019-01-19,16:05:02
11,Bhakti Shakti,Katraj,15:45,42,18.571382522583008,73.76519012451172,1547894127,1661,11,2019-01-19,16:05:27
12,Bhakti Shakti,Katraj,15:45,42,18.570255279541016,73.76567840576172,1547894149,1661,0,2019-01-19,16:05:49
13,Bhakti Shakti,Katraj,15:45,42,18.569942474365234,73.76578521728516,1547894152,1661,9,2019-01-19,16:05:52
14,Bhakti Shakti,Katraj,15:45,42,18.569337844848633,73.76602172851562,1547894171,1661,1,2019-01-19,16:06:11
15,Bhakti Shakti,Katraj,15:45,42,18.568504333496094,73.76632690429688,1547894179,1661,13,2019-01-19,16:06:19
16,Bhakti Shakti,Katraj,15:45,42,18.56802749633789,73.76649475097656,1547894202,1661,1,2019-01-19,16:06:42
17,Bhakti Shakti,Katraj,15:45,42,18.5673828125,73.76659393310547,1547894207,1661,8,2019-01-19,16:06:47
18,Bhakti Shakti,Katraj,15:45,42,18.566354751586914,73.76699829101562,1547894225,1661,2,2019-01-19,16:07:05
19,Bhakti Shakti,Katraj,15:45,42,18.56498908996582,73.76751708984375,1547894233,1661,17,2019-01-19,16:07:13
20,Bhakti Shakti,Katraj,15:45,42,18.563617706298828,73.76805877685547,1547894257,1661,17,2019-01-19,16:07:37
21,Bhakti Shakti,Katraj,15:45,42,18.562118530273438,73.76861572265625,1547894279,1661,18,2019-01-19,16:07:59
22,Bhakti Shakti,Katraj,15:45,42,18.559947967529297,73.76936340332031,1547894304,1661,18,2019-01-19,16:08:24
23,Bhakti Shakti,Katraj,15:45,42,18.55775260925293,73.7701187133789,1547894329,1661,16,2019-01-19,16:08:49
24,Bhakti Shakti,Katraj,15:45,42,18.556835174560547,73.77044677734375,1547894353,1661,16,2019-01-19,16:09:13
25,Bhakti Shakti,Katraj,15:45,42,18.555063247680664,73.77104187011719,1547894377,1661,16,2019-01-19,16:09:37
26,Bhakti Shakti,Katraj,15:45,42,18.553972244262695,73.77144622802734,1547894396,1661,20,2019-01-19,16:09:56
27,Bhakti Shakti,Katraj,15:45,42,18.55200958251953,73.77210235595703,1547894423,1661,4,2019-01-19,16:10:23
28,Bhakti Shakti,Katraj,15:45,42,18.551559448242188,73.77228546142578,1547894430,1661,8,2019-01-19,16:10:30
29,Bhakti Shakti,Katraj,15:45,42,18.551109313964844,73.77244567871094,1547894448,1661,2,2019-01-19,16:10:48
30,Bhakti Shakti,Katraj,15:45,42,18.550006866455078,73.7728500366211,1547894454,1661,20,2019-01-19,16:10:54
31,Bhakti Shakti,Katraj,15:45,42,18.548086166381836,73.7734146118164,1547894484,1661,13,2019-01-19,16:11:24
32,Bhakti Shakti,Katraj,15:45,42,18.54805564880371,73.77342224121094,1547894505,1661,15,2019-01-19,16:11:45
33,Bhakti Shakti,Katraj,15:45,42,18.547054290771484,73.77375793457031,1547894531,1661,1,2019-01-19,16:12:11
34,Bhakti Shakti,Katraj,15:45,42,18.546855926513672,73.7738265991211,1547894533,1661,12,2019-01-19,16:12:13
35,Bhakti Shakti,Katraj,15:45,42,18.5457763671875,73.77422332763672,1547894555,1661,2,2019-01-19,16:12:35
